Tour;Length;GiftIds;TotalWeight;Weights
10;3965265.1542875;72098,33492,76926,20154,91756,33787,23929,6152,81940,42394,40686,37400,80867,59394,36931,46296,1391,77195,12252,9954,64596,28261,84588,46231,5600,80351,18602,14601,75285,63695,3946,395,59284,73008,67735,86221,14385,67622,90332,31919,59428,65577,7389,95860,9827,59422,69914,38589,41925,86870,44247,73909,71914,84765,30439,57987,65045,6882,40835,61272,48104,28496,92086,38747,42779,75661,72309,61663,26142,74241,57637,31535,55189,26589,62247,76907,29518,70467,70561,58744,18407,6123,19544,75764,53547;999.305353352;1+1+1+21.30752203+17.09233099+42.46654622+46.41179894+2.11785953+1+1+1+14.44999819+1+8.367909833+16.62035565+17.6168346+2.168469998+27.74536354+34.45493773+3.385652024+4.266025406+1+7.13209864+1+6.90287803+10.78680338+50+23.34940425+37.99701991+38.24237303+1+18.90451763+1+1+3.653171714+2.002023435+26.0765413+1+1+6.783470792+1+12.13827498+1+6.927662671+1+1+22.54794259+33.93084214+17.37909816+1+12.05109081+26.08259377+1+1+30.0261751+17.10002025+1+20.35180362+7.417331474+22.41041495+48.95933146+1+34.27800015+1+38.00219581+1+1+11.09292666+25.44555843+1.078095714+1+29.184538+1+30.70649652+16.84749046+5.732417739+1+1.147457563+1+1+1+3.165687539+1+1+1
11;2250984.91762856;70730,28893,76208,8457,28192,3883,60118,85985,71367,14120,16874,21071,50806,41363,78585,39941,14621,83374,99307,91636,60415,94032,85614,4247,56713,75523,45611,72470,20400,36868,1526,83170,98551,9938,12596,88339,23271,76902,89543,51693,79380,83826,4848,60819,90091,59847,26439,33060,94054,80441,34012,15343,32043,14918,7126;999.516424765;31.37977528+22.58130425+22.48037229+9.56530444+11.35512525+30.03874293+7.388053206+29.98279021+9.026615747+35.18019617+13.4163987+15.87135174+50+4.812080277+1+28.39985691+4.98127392+9.541713613+29.03693957+16.54313435+25.68328606+20.49036348+42.6414153+19.36171438+43.14355133+43.48154616+20.49988694+16.80622487+24.45808795+21.13694962+1+5.16750488+1+12.89802692+32.97957278+1+1+1+1+22.88228634+8.447193028+1+1+1+43.79854372+9.174612551+6.311196633+31.53462836+22.4388024+20.57977531+47.44829908+20.6031236+14.47356162+14.79272899+16.70251361
12;3639177.34674178;60234,71761,14237,46200,46441,85523,44167,24580,39895,69943,12014,21420,4218,64839,3971,7155,18806,87503,63062,50122,9713,30939,77071,32022,42706,87112,80263,98047,58463,27735,72970,33893,68102,66851,23285,2972,13026,73142,80697,86541,14794,49087,89665,50723,11761,93340,52370,70826,89993,15327,53459,60144,27813,40551,83225,13517,43185,86061,73237,47199,72649,74901,55882,52987,85891,2089,85486,66163,32961,87179,39284,30743,97972,94178,39871,22988,73587,36311,51321,87254,2676,52678,92696,39151;999.990735006;1+7.938975263+50+1+26.97437696+7.187027798+20.03873794+1+1+9.603952411+21.26711376+1+1.109104729+50+1+2.765906557+1+9.215368527+20.61334638+1+1+25.24223258+13.24894384+1+17.11290516+39.45606655+1+1+2.070497209+20.80871976+13.6092289+27.37216134+1+1+3.078559795+7.666408273+1+23.44119112+19.69614231+32.43230301+9.68390841+1+1.794251628+1+1+41.351506+1+46.15605916+20.76702493+1+1+20.09623341+26.4864429+17.80446699+1+1+1+12.88183703+15.84600356+8.835408732+29.40510324+10.67498217+37.29161068+1+9.199916135+1+30.62975992+50+13.54482049+30.74666885+3.276494653+12.63873737+1+1+36.81183875+1+1+1+1+1.382832922+1+1+1+5.735556904
13;3709482.28541891;68487,13985,16108,2498,41320,30144,57721,6612,67882,44572,60783,76174,97294,18094,2172,22227,95573,95626,43409,73373,92326,28598,92655,50666,86058,57273,73757,9498,3550,59841,15734,88099,63753,30779,31946,87085,82003,86163,95808,70165,36449,96130,77164,98224,22177,75024,94113,18102,27839,43092,94860,96946,55754,56467,74838,92956,4455,52274,54837,12676;999.529987935;26.96320683+7.907412725+1+14.24843773+30.90238418+49.24910511+41.89964852+1+1+1+1+20.58238679+2.325548441+43.70286274+22.9654896+18.35007806+41.17719534+1.419732353+20.95741508+1+26.37743122+33.34944466+37.6900064+47.22135322+20.9520218+47.39665584+25.275952+7.756617975+1+8.047133648+1+50+4.91981252+40.09191169+1+20.90822265+1+1+1+8.41125735+6.740261882+29.05426737+2.642519172+50+5.79547434+17.32273626+7.751870359+1+23.41372982+21.86047733+1+40.28085999+16.53219242+25.80229469+1+1+12.28457983+1+1+1
14;3080367.83811989;76181,63778,36319,57010,20353,41057,996,6690,4312,98675,17673,69781,28529,86298,36219,90384,52404,96301,84724,41145,45937,95841,22345,31008,3799,49322,37719,73876,22583,49038,6611,27156,41129,57316,35729,39524,8375,17224,20733,30775,56050,53535,35939,80931,48557,20740,15597,83064,51425,21172,96801,78547,1722,43520,79195,4898,81690,38234,72333,75334,75035,18629,91659,30015,54189,5482,39148,94993,35341,56550,15087,28030;999.61880782;20.0452544+29.92186913+6.954725642+14.20667053+40.22047207+1+8.304228564+32.04673574+1+27.24242657+31.03078157+1+1+25.97614954+10.82093171+3.419374174+3.847664098+30.72538491+1+1+20.12159844+1+7.868544174+11.05676438+1+11.72464835+2.867921326+1+22.73615486+45.56448654+12.42319024+26.19537766+21.91721197+17.66359436+11.89910519+17.21887802+28.41232518+9.60917383+19.59989824+16.68316867+8.198028735+12.40746427+9.235005425+13.85561045+1+1+4.475954273+1+27.35600591+47.03002251+1+2.865183983+21.98380782+11.14832612+4.761361141+1+1+39.6160013+36.17027197+2.042569695+1+16.87513519+1+28.04293471+21.81197614+39.90833011+8.29384111+34.21626688+1+1+1+1
15;2613602.28995891;39888,79586,49099,17658,37017,59275,76880,91154,11048,98648,1982,59482,23838,3204,1936,84800,70496,32948,55636,49672,43249,43291,14267,23781,11097,6148,22449,10211,24689,49531,12604,29791,11772,26198,6540,48282,40944,78142,68548,56703,43256,92666,99831,64856,81670,46874,62324,67791,21824,25028,43081,11983,20700,3689,34842,17724,88135,60767,72545,24780,25691,43811,58547,61647;999.244473651;1+11.24750799+34.97072151+1+4.732282299+7.205872811+38.81861543+9.92968901+20.27668501+1+10.18941059+1+43.79493872+1+2.89077555+1+36.99266258+22.19799397+23.81963129+16.33906547+1+30.20742494+1+1+1+30.9945626+8.157429432+27.00645092+1+18.38239221+40.34032729+1+7.132257149+5.035332983+18.71316126+1+29.59861712+40.4424372+10.76844186+14.52167646+1+1+36.4443577+43.27042186+18.13155076+2.62257413+1+7.68452724+1+50+42.79855133+1+48.52554012+18.66304895+20.39710007+24.6750206+1+24.59823452+23.19674756+1+22.34146503+28.39751324+1.791456887+1
16;3735354.02288363;39162,32122,20898,26869,20334,23380,73484,347,18067,96704,70635,34218,33658,68902,65750,17134,30984,89203,72935,75349,79654,644,64347,9031,29963,8794,15229,78439,88128,8857,58600,71896,28828,37840,69967,18416,69089,7021,23909,54403,92474,33694,41662,79769,46544,92988,74916,77672,66047,30583,82167,99741,26457,55091,1552,11299,45044,69686,64271,69337,28209,83117,75714,61197,43631,55246,97032,72560,13824,13821;999.477929896;1+45.43031904+10.19778322+1+17.98442551+4.151215733+1+2.282066392+50+9.843238925+41.26706629+1+5.792177586+3.102849094+34.61816168+1+1+23.6393552+1+36.6891851+31.78761604+5.191184733+1+14.84092989+1+1+1+1+18.52320687+1.322043694+17.75932149+20.35755208+35.00091356+1+4.155839812+11.719151+6.617290806+50+42.84022634+26.23213821+20.76484283+4.514786742+9.946460875+8.805419904+42.0736984+1+3.16372476+11.94451859+16.05066062+1+21.87247862+4.561328911+1+1+10.26895376+12.52863311+1+7.194682799+15.12953357+26.21468085+46.01433186+1+1+11.9342208+12.6790776+33.47906747+25.40608669+31.81216722+30.77331562+1
17;3554964.93380505;70357,58087,82915,2563,83517,58200,24077,63674,37924,30744,36981,87544,87478,91347,72916,81149,45159,93328,71686,61414,96568,69115,87082,41024,20024,17983,898,51541,43466,95756,35587,52807,56205,25506,61880,82114,2337,40658,93994,98596,88458,15542,53754,55362,12022,86808,89629,7359,42242,9834,88328,46271,59834,77117,92379,7968,4763,13989,3937,91044,45592,42018,52068,14029,3754,75017,10946,35622,7564,91281,38415,84464,55294,64772,79156;999.364817356;12.82250202+13.59485323+1+33.45629367+3.086097011+1+1+7.948772313+27.11612658+18.72274196+26.54659836+1+1+1+1+45.79872225+15.57063796+1+19.88332435+1+21.18323426+17.8146116+1+36.00498962+41.35954806+12.64426706+1+15.45866196+41.03655542+26.47142848+1+6.471259383+7.820848327+13.90461364+1+1+1+2.186304127+43.71542245+45.39449366+9.874744431+1+34.21986112+1+38.11328965+43.00850934+1+10.48883515+47.54066464+1+24.25782952+1+1+44.93613998+1+4.931798638+31.03182916+12.64530155+17.8649582+37.57595676+5.064451926+15.03290369+1+4.61622261+1+1+1+13.63064954+1+1+1+16.5179637+1+1+1
18;3838751.27819835;51549,89443,5119,43129,59038,12829,96287,39798,17433,57429,22264,8762,58421,74990,46590,17063,92694,25928,5490,62256,92152,65777,27783,46038,6519,55888,89800,90304,3582,26063,7605,46034,67363,36767,28431,87777,22775,87191,27328,68667,30904,45641,31871,23336,22020,20931,50695,23371,31808,73859,15443,53763,80354,5590,23002,57196,87931,87180,5582,26501;999.351491436;10.74459989+41.52543435+1+22.98518253+50+22.31528755+1+8.797419247+31.46681184+16.04979983+27.77235718+39.35160883+13.2426151+19.3851681+1+29.94530955+20.59659918+13.39386867+28.49216106+43.45554014+11.31789179+18.96291059+47.33345766+21.87066028+8.231613029+19.72874021+33.61752782+1+1+6.908841466+1+4.72094959+25.84483861+13.10340236+1+38.64001209+12.95288587+21.34077959+2.742259623+1+9.98885488+29.54604607+13.58372919+32.0659353+27.05093251+1+10.14973559+22.04138687+46.26405155+21.16586761+33.25393292+1+5.599069654+1+5.805415667+1+1+1+1+1
19;3611565.05350888;96376,38352,4834,7080,31368,43717,65932,57672,77091,53929,90599,99707,37729,59693,10547,14787,30684,3225,86688,47628,73257,92497,58362,17111,13286,40722,51596,22935,22486,5208,81683,69331,15339,92826,63479,96856,24914,60219,24631,84844,89970,95241,83146,43216,81845,90075,93815,44436,93782,61468,62257,26393,63819,13343,81818,9725,78126,45703,18408,38366,18071,85922,46245,90051,97068,33649,22348,13751,27834,3595,68007;999.620195286;1+50+27.18141527+11.75752041+1+12.77674272+1+13.92027938+1+32.24727133+18.10082477+17.56306251+27.93785835+20.8483763+16.8186038+1+13.61675672+26.68678221+15.4577085+1+14.81422989+4.420661505+21.45542798+31.26054288+14.60410803+1+26.05235129+19.24955385+15.66751372+3.35726386+1+22.38836996+3.524214785+4.738376444+9.878599511+11.90058414+17.9774184+1+6.457960587+37.47737734+1+32.25468119+1+6.179303198+8.966976342+4.29143259+26.44657285+1+29.86967189+50+11.91393978+4.888862156+1+7.395706065+31.37709328+1+19.90571861+12.43103065+1+24.94143409+1+10.36750177+1+9.293843605+2.838702604+25.88499335+42.26326568+25.38159293+5.821692668+17.2288243+2.539599246
20;3827482.62847537;64047,20589,81622,8127,13708,26539,64768,76660,89905,6368,31518,100,21272,98183,87765,73420,69422,91292,17791,12909,16124,3174,50361,58804,38317,23520,70667,72466,34372,10095,98005,74778,81412,95244,65078,97304,71973,21475,90909,52325,14968,57898,57803,14992,15335,95302,50150,54992,30231,25033,7854,93645,20870,44908,9192,16617,75877,46740,87027,13175,15683,52812,53598,85582,75330,61158,69426,24677,59425,96456,18020,42489,32304;999.823434191;1.478407076+31.62475173+30.69544534+4.333730064+5.090138996+6.602368436+36.20393963+17.39818113+15.69065557+48.13892799+18.67738226+1+7.661984744+50+18.33404774+1+4.46493986+17.87434522+1+2.646922631+24.66348256+1+16.92688821+8.566726233+15.80524802+13.47680444+9.013913538+4.84211079+2.464109339+3.541632764+1+1+11.43360922+5.025921977+3.500409126+9.129546522+1+1+28.07743938+4.192104702+17.70312012+25.02124297+9.802230631+15.38203872+2.862299282+42.18969901+1+7.192053118+1+25.73088133+19.21244821+4.003883814+42.2058438+26.11295414+13.43660149+25.18031363+1+12.77777154+4.826985056+1+22.32016463+1+22.14705363+16.55818007+18.8623493+31.66878199+42.59719168+13.86411658+2.590097112+25.52853725+17.47047985+1+1
21;3754761.73747979;56644,715,84234,18795,32052,755,34462,70981,23683,18414,6504,13120,30362,61047,28458,85309,73160,64943,20731,13549,49065,62388,33770,26786,62563,50934,77780,8323,23011,87633,78465,26846,55441,80065,72520,72349,34719,20018,4535,87397,46303,51326,41585,33825,43918,22742,83363,28855,78521,54928,64329,49868,77842,34734,49844,28076,33260,90653,82730,1019,54050,12768,21963,66340,15958,77390,30864,56118,67784,54481,90111,43720,51900,73543,83866;999.767913749;4.963273985+18.34923315+28.11142286+1+1+1+6.214294015+1.812731386+10.72069532+14.32424829+23.59274018+31.82596923+40.34461059+18.03990809+29.82653322+10.64647117+7.684948778+8.383529361+37.14794027+27.01857947+23.88893762+13.24470768+3.526238653+1+1+1+19.16670201+44.64819953+24.26133878+13.45637471+2.019171638+28.32108056+10.71705241+34.32274441+9.616911664+12.90434319+1+47.97939317+40.5779621+24.92676533+17.95160173+50+5.151706139+1+1+20.14434727+1+6.771284729+32.27387421+23.22885481+28.09020707+3.097423505+1+1+17.59513108+1+1+24.56495263+1+9.901959684+1+1+1+30.51862042+22.12613407+1+8.766763582+1+1+1+1+1+1+1+1
22;3636963.44150143;99457,9855,70955,4042,53921,26161,42090,70719,11192,15043,92855,75742,42138,18076,20613,24708,80838,84124,97168,59281,78350,20453,7852,78336,80553,66222,35174,45996,76471,18587,1457,26977,13442,4061,76527,9132,69402,56978,92067,96538,75229,307,22726,95252,80021,35210,7025,96314,81289,73626,68757,70464,80125,68494,36980,74816,81516,20658,13918,93624,81743,39513,91530,71363,20443,51694;999.855936347;35.02263379+1+1+5.563374247+13.6128431+6.315864746+6.523080678+1+5.193978502+1+27.17602563+7.844907366+19.61404296+3.587019207+15.50796055+21.88275324+1+42.77961316+1.048064317+23.01999952+1+1+1+47.21798099+32.33976148+11.81809843+26.0767203+24.28978945+31.84040097+1+14.61329381+13.98464895+4.358623905+27.63299906+28.41516743+16.55320568+1+7.936166255+22.08805121+10.51024111+50+35.99154817+20.67265178+31.08898854+24.12385788+41.69878037+14.52689051+30.54766562+2.938339966+21.36804941+21.59980135+11.54286143+30.16451095+6.174698095+28.06083093+26.00729845+4.943070852+22.45958524+1+1+1+4.579196761+1+1+1+1
23;3995918.53577221;35906,49228,65738,54931,49733,77705,39343,90645,43221,37193,30988,53289,52977,30971,23267,50012,71934,90711,27749,60355,65366,28586,74224,99893,9267,86333,37248,42161,9401,11338,70227,53749,56045,40049,75802,502,73814,10024,31158,39530,3837,23652,32345,82746,59211,37588,68218,34278,785,91662,41772,55485,44537,1911,34122,3501,24549,19106,71791,45126,71622,1413,67202,37873,90289,5324,39112,78266,34831,81393,78355;999.937789736;1+21.73476277+1+17.49689247+1+36.61059254+17.17497119+13.87124418+2.941084018+1+18.54745189+36.5164794+28.79382017+33.34365593+1+1+37.5988274+28.73577922+1+36.75722717+25.76534372+12.14566634+15.04258572+6.645944773+1+21.23776232+24.6080694+36.65634472+1+1+5.362644353+50+1+1+24.54667719+1+16.0065133+1+1+9.159487073+15.309212+1+6.447396103+1+25.10556805+32.3963338+39.82841365+1.317727299+37.02864615+22.12196163+1+50+1+14.57114209+36.21938364+32.23284436+1+19.20564537+36.23800718+15.11701826+1+4.410460896+1+1+6.088202001+1+1+1+1+1+1
